,cloud_fraction,nan_fraction,kelp_fraction
0,5.714285714285714e-05,0.0,0.0028163265306122448
1,0.0001959183673469388,0.0,0.026351020408163266
2,0.0016163265306122449,0.0,0.0016163265306122449
3,8.979591836734694e-05,0.0,0.0006448979591836734
4,0.002130612244897959,0.0,0.009795918367346938
5,0.01976326530612245,0.0,0.0
6,0.01923265306122449,0.0,0.0
7,0.0,0.0,0.0038530612244897957
8,0.021877551020408163,0.0,0.015110204081632652
9,0.0013877551020408164,0.0,0.00018775510204081632
10,0.3782285714285714,0.0,0.0
11,0.10471836734693878,0.0,0.0
12,0.05373061224489796,0.0,0.01333061224489796
13,0.00683265306122449,0.0,0.0
14,0.0023673469387755102,0.0,0.01186122448979592
15,0.11070204081632654,0.10968979591836735,0.007118367346938776
16,0.09796734693877551,0.0,0.0
17,0.0003020408163265306,0.0,0.00032653061224489796
18,0.002057142857142857,0.0,0.005477551020408164
19,0.0984,0.0,0.053477551020408166
20,0.0872734693877551,0.0,0.0
21,0.28020408163265303,0.21230204081632653,0.0
22,0.02483265306122449,0.0,0.0
23,0.19864489795918366,0.19693061224489797,0.014351020408163266
24,7.346938775510205e-05,0.0,0.0
25,0.00024489795918367346,0.0,0.011085714285714286
26,0.0025551020408163265,0.0,0.0
27,0.0033387755102040817,0.0,0.02869387755102041
28,0.26646530612244895,0.26646530612244895,0.0
29,0.0701061224489796,0.0,0.010179591836734694
30,0.3082857142857143,0.0,0.0
31,0.007730612244897959,0.0,0.0006122448979591836
32,0.007975510204081633,0.0,0.006612244897959183
33,0.006481632653061224,0.0,0.0006612244897959184
34,0.020236734693877552,0.0,0.0009714285714285714
35,0.0504734693877551,0.0,0.0
36,0.010244897959183673,0.0,0.013322448979591837
37,0.01219591836734694,0.0,0.0
38,0.009240816326530612,0.0,0.036897959183673466
39,0.0033714285714285712,0.0,0.010693877551020407
40,0.0373469387755102,0.0,0.0
41,0.019722448979591838,0.0,0.05537142857142857
42,0.0034612244897959184,0.0,0.0027918367346938776
43,0.08386938775510204,0.0,0.0
44,0.015542857142857143,0.0,0.009379591836734693
45,0.010448979591836735,0.0,0.003053061224489796
46,0.05369795918367347,0.0,0.00018775510204081632
47,0.047657142857142856,0.0,0.0005306122448979592
48,0.0001469387755102041,0.0,0.0
